data_set,model,cv_score,std_cv_score,var_cv_score
1s_no,DecisionTreeClassifier,61.33,7.21,0.52
1s_no,RandomForestClassifier,69.09,4.71,0.22
1s_no,XGBClassifier,66.34,4.51,0.2
1s_0.5,DecisionTreeClassifier,59.93,6.05,0.37
1s_0.5,RandomForestClassifier,69.54,7.82,0.61
1s_0.5,XGBClassifier,64.74,9.78,0.96
1s_0.8,DecisionTreeClassifier,60.58,5.98,0.36
1s_0.8,RandomForestClassifier,67.83,9.12,0.83
1s_0.8,XGBClassifier,64.74,9.61,0.92
2s_no,DecisionTreeClassifier,60.7,9.35,0.87
2s_no,RandomForestClassifier,70.56,9.88,0.98
2s_no,XGBClassifier,67.89,11.94,1.43
2s_0.5,DecisionTreeClassifier,61.25,5.67,0.32
2s_0.5,RandomForestClassifier,71.1,5.27,0.28
2s_0.5,XGBClassifier,66.21,5.26,0.28
2s_0.8,DecisionTreeClassifier,62.54,7.7,0.59
2s_0.8,RandomForestClassifier,70.93,9.51,0.9
2s_0.8,XGBClassifier,67.03,11.25,1.27
3s_no,DecisionTreeClassifier,63.66,7.41,0.55
3s_no,RandomForestClassifier,70.43,10.53,1.11
3s_no,XGBClassifier,67.85,9.5,0.9
3s_0.5,DecisionTreeClassifier,60.45,5.06,0.26
3s_0.5,RandomForestClassifier,70.9,8.86,0.79
3s_0.5,XGBClassifier,66.94,9.56,0.91
3s_0.8,DecisionTreeClassifier,60.01,5.76,0.33
3s_0.8,RandomForestClassifier,70.23,9.47,0.9
3s_0.8,XGBClassifier,66.34,9.86,0.97
4s_no,DecisionTreeClassifier,65.44,9.26,0.86
4s_no,RandomForestClassifier,70.45,12.56,1.58
4s_no,XGBClassifier,66.37,10.79,1.17
4s_0.5,DecisionTreeClassifier,61.12,9.88,0.98
4s_0.5,RandomForestClassifier,71.26,10.59,1.12
4s_0.5,XGBClassifier,67.92,10.13,1.03
4s_0.8,DecisionTreeClassifier,60.76,7.5,0.56
4s_0.8,RandomForestClassifier,69.11,8.32,0.69
4s_0.8,XGBClassifier,66.79,8.24,0.68
5s_no,DecisionTreeClassifier,60.81,9.05,0.82
5s_no,RandomForestClassifier,70.61,11.42,1.3
5s_no,XGBClassifier,67.02,11.1,1.23
5s_0.5,DecisionTreeClassifier,58.47,7.46,0.56
5s_0.5,RandomForestClassifier,71.97,8.32,0.69
5s_0.5,XGBClassifier,68.2,6.81,0.46
5s_0.8,DecisionTreeClassifier,60.99,8.31,0.69
5s_0.8,RandomForestClassifier,70.23,7.46,0.56
5s_0.8,XGBClassifier,67.47,10.94,1.2
